"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 15 11:18:51 GMT 2023","Fri Dec 15 11:18:51 GMT 2023","180","Guest QA","","","","","create guest-Invalid/Mismatched Auth Token",""
"passed","Fri Dec 15 11:18:54 GMT 2023","Fri Dec 15 11:23:55 GMT 2023","300393","Appointments","Create Appointment","","","","Create Appointment",""
"passed","Fri Dec 15 11:58:59 GMT 2023","Fri Dec 15 11:58:59 GMT 2023","327","Appointments","Get by id","","","","get by id-Empty page",""
"passed","Fri Dec 15 10:53:28 GMT 2023","Fri Dec 15 10:53:29 GMT 2023","566","Authorization QA","Login","Login Phone","","","Login (Phone)",""
"passed","Fri Dec 15 11:18:52 GMT 2023","Fri Dec 15 11:18:53 GMT 2023","321","Events QA","","","","","Create Event- Empty endDate",""
"passed","Fri Dec 15 11:18:41 GMT 2023","Fri Dec 15 11:18:41 GMT 2023","329","Subscription QA","Create Subscription","","","","create subscription-Empty User field",""
"passed","Fri Dec 15 10:53:35 GMT 2023","Fri Dec 15 10:53:36 GMT 2023","325","Authorization QA","Signup","Signup (mobileNumber) Copy","","","Signup (mobileNumber)-Empty Role field",""
"failed","Fri Dec 15 11:18:41 GMT 2023","Fri Dec 15 11:18:41 GMT 2023","178","Community QA","get by Id","","","","get by id- Invalid Auth token",""
"passed","Fri Dec 15 11:18:47 GMT 2023","Fri Dec 15 11:18:47 GMT 2023","172","Subscription QA","Update subscription","","","","update subscription Copy",""
"passed","Fri Dec 15 11:18:39 GMT 2023","Fri Dec 15 11:18:39 GMT 2023","180","Community QA","get All community users for user","","","","get All community users for user",""
"passed","Fri Dec 15 11:28:55 GMT 2023","Fri Dec 15 11:33:55 GMT 2023","300268","Appointments","Create Appointment","","","","Create Appointment-Empty City",""
"failed","Fri Dec 15 11:18:51 GMT 2023","Fri Dec 15 11:18:51 GMT 2023","179","Guest QA","","","","","create guest-No Auth Token",""
"failed","Fri Dec 15 11:18:39 GMT 2023","Fri Dec 15 11:18:39 GMT 2023","184","Community QA","List communities","","","","list communities-No Auth Token",""
"failed","Fri Dec 15 11:18:39 GMT 2023","Fri Dec 15 11:18:39 GMT 2023","178","Community QA","get All community users for user","","","","get All community users for user-No Auth Token",""
"failed","Fri Dec 15 10:53:37 GMT 2023","Fri Dec 15 10:53:37 GMT 2023","170","Authorization QA","Signup","Admin level roles","","","Admin level roles-Wrong endpoint",""
"passed","Fri Dec 15 10:53:28 GMT 2023","Fri Dec 15 10:53:28 GMT 2023","331","Authorization QA","Login","Login Email","","","Login (Email)-Empty password",""
"passed","Fri Dec 15 10:53:26 GMT 2023","Fri Dec 15 10:53:27 GMT 2023","269","Authorization QA","Login","Login Email","","","Login (Email)-Empty email field",""
"failed","Fri Dec 15 11:18:39 GMT 2023","Fri Dec 15 11:18:40 GMT 2023","179","Community QA","get All community users for user","","","","get All community users for user-Invalid/Mismatched Auth token",""
"passed","Fri Dec 15 11:18:52 GMT 2023","Fri Dec 15 11:18:52 GMT 2023","339","Events QA","","","","","Create Event-Empty start date",""
"passed","Fri Dec 15 11:18:50 GMT 2023","Fri Dec 15 11:18:51 GMT 2023","339","Guest QA","","","","","create guest-Empty country code",""
"passed","Fri Dec 15 11:43:56 GMT 2023","Fri Dec 15 11:48:56 GMT 2023","300260","Appointments","Create Appointment","","","","Create Appointment-Empty zipcode",""
"passed","Fri Dec 15 11:58:59 GMT 2023","Fri Dec 15 11:58:59 GMT 2023","335","Appointments","Get by id","","","","get by id-No Auth",""
"passed","Fri Dec 15 10:53:32 GMT 2023","Fri Dec 15 10:53:33 GMT 2023","334","Authorization QA","Signup","Signup (Email)","","","Signup (Email)-Empty Name field",""
"passed","Fri Dec 15 11:18:41 GMT 2023","Fri Dec 15 11:18:41 GMT 2023","176","Subscription QA","Create Subscription","","","","create subscription",""
"passed","Fri Dec 15 11:18:42 GMT 2023","Fri Dec 15 11:18:42 GMT 2023","343","Subscription QA","Create Subscription","","","","create subscription- Empty Renew Amount",""
"passed","Fri Dec 15 11:18:52 GMT 2023","Fri Dec 15 11:18:52 GMT 2023","321","Events QA","","","","","Create Event-empty Title field",""
"failed","Fri Dec 15 11:18:45 GMT 2023","Fri Dec 15 11:18:45 GMT 2023","331","Subscription QA","Details of subscription and upcoming or completed payments","","","","get details of subscription and upcoming or completed payments-Empty page",""
"failed","Fri Dec 15 11:18:44 GMT 2023","Fri Dec 15 11:18:44 GMT 2023","332","Subscription QA","List of subscriptions of all users","","","","get list of subscriptions of all users-No Auth Token",""
"failed","Fri Dec 15 11:18:40 GMT 2023","Fri Dec 15 11:18:40 GMT 2023","175","Community QA","get by Id","","","","get by id- Empty id",""
"failed","Fri Dec 15 11:18:49 GMT 2023","Fri Dec 15 11:18:50 GMT 2023","179","Guest QA","","","","","create guest-Empty First name",""
